impact_method,characterization,reference,unit
"Problem oriented approach: baseline (CML, 1999)","abiotic depletion (elements, ultimate ultimate reserves)",ADPelements (Oers et al. 2001),kg antimony eq.
"Problem oriented approach: baseline (CML, 1999)",abiotic depletion (fossil fuels),"ADPfossil fuels (Oers et al., 2001)",MJ
"Problem oriented approach: non baseline (CML, 1999)","abiotic depletion (elements, reserve base)",ADPelements (Oers et al. 2001),kg antimony eq.
"Problem oriented approach: non baseline (CML, 1999)","abiotic depletion (elements, economic reserve)",ADPelements (Oers et al. 2001),kg antimony eq.
"Problem oriented approach: non baseline (CML, 1999)",Landuse increase of land competition,"LUC (Guinee et al, 2001)",m2*yr
"Problem oriented approach: baseline (CML, 1999)",global warming GWP100,"GWP100 (IPCC, 2007)",kg CO2 eq.
"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 min,"net GWP100 min(Houghton et al., 2001)",kg CO2 eq.
"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 max,"net GWP100 max(Houghton et al., 2001)",kg CO2 eq.
"Problem oriented approach: non baseline (CML, 1999)",global warming GWP20 ,"GWP20 (IPCC, 2007)",kg CO2 eq.
"Problem oriented approach: non baseline (CML, 1999)",global warming GWP500 ,"GWP500 (IPCC, 2007)",kg CO2 eq.
"Problem oriented approach: baseline (CML, 1999)",ozone layer depletion ODP steady state ,"ODP steady state (WMO, 2003)",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP5 ,"ODP5 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP10,"ODP10 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP15,"ODP15 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP20,"ODP20 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP25,"ODP25 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP30,"ODP30 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: non baseline (CML, 1999)",ozone layer depletion ODP40,"ODP40 (Solomon & Albritton, 1992))",kg CFC-11 eq.
"Problem oriented approach: baseline (CML, 1999)",human toxicity HTP inf. ,"HTP inf. (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP inf. ,"FAETP inf. (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP inf,"MAETP inf. (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP inf.,"FSETP inf. (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP inf.,"MSETP inf. (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: baseline (CML, 1999)",Terrestrial ecotoxicity TETP inf,"TETP inf.(Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 20,"HTP 20 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 20,"FAETP 20 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 20,"MAETP 20 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 20,"FSETP 20 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 20,"MSETP 20 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity TETP 20,"TETP 20 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 100,"HTP 100 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 100,"FAETP 100 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 100,"MAETP 100 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 100,"FSETP 100 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 100,"MSETP 100 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity TETP 100,"TETP 100 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 500,"HTP 500 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 500,"FAETP 500 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 500,"MAETP 500 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 500,"FSETP 500 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 500,"MSETP 500 (Huijbregts, 1999 & 2000)","kg 1,4-dichlorobenzene eq."
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity,"TETP 500 (Huijbregts, 1999 & 2000) TETP 500","kg 1,4-dichlorobenzene eq."
USEtox,Human toxicity,"CTUh (Rosenbaum et al., 2008)",cases
USEtox,Fresh water Ecotoxicity,"CTUe (Rosenbaum et al., 2008)",PAF m3.day
"Problem oriented approach: baseline (CML, 1999)",photochemical oxidation (high NOx),"POCP (Jenkin & Hayman, 1999; Derwent et al. 1998; high NOx)",kg ethylene eq.
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (low NOx),POCP (Andersson-Sköld et al. 1992; low NOx),kg ethylene eq.
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (MIR; very high NOx),"MIR 1997; very high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )",kg formed ozone
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (MOIR; high NOx),"MOIR; high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )",kg formed ozone
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (EBIR; low NOx),"EBIR; low NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )",kg formed ozone
"Problem oriented approach: baseline (CML, 1999)","acidification (incl. fate, average Europe total, A&B)","AP ( Huijbregts, 1999; average Europe total, A&B)",kg SO2 eq.
"Problem oriented approach: non baseline (CML, 1999)",acidification (fate not incl.),AP (Hauschild & Wenzel (1998).,kg SO2 eq.
"Problem oriented approach: baseline (CML, 1999)",eutrophication (fate not incl.),EP (Heijungs et al. 1992)),kg PO4--- eq.
"Problem oriented approach: non baseline (CML, 1999)","eutrophication (incl. fate, average Europe total, A&B)","EP ( Huijbregts, 1999; average Europe total, A&B)",kg NOx eq.
"Problem oriented approach: non baseline (CML, 1999)",radiation,"(Frischknecht et al., 1999)","DALYs (Egalitarian, Hierarchist)"
"Problem oriented approach: non baseline (CML, 1999)",odour,1/OTV,m3
Damage Approach,"EPS (Steen, 1999))","EPS (Steen, 1999))",elu
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),Carcinogenic effects on humans (H.A),DALY
ECOINDICATOR 99 (H.A),Respiratory effects on humans caused by organic substances (H.A),Respiratory effects on humans caused by organic substances (H.A),DALY
ECOINDICATOR 99 (H.A),Respiratory effects on humans caused by inorganic substances (H.A),Respiratory effects on humans caused by inorganic substances (H.A),DALY
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),Damages to human health caused by climate change (H.A),DALY
ECOINDICATOR 99 (H.A),Human health effects caused by ionising radiation (H.A),Human health effects caused by ionising radiation (H.A),DALY
ECOINDICATOR 99 (H.A),Human health effects caused by ozone layer depletion (H.A),Human health effects caused by ozone layer depletion (H.A),DALY
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr
