characterization,unit
Total Emission relevant energy use,TJ
Total Energy inputs from nature,TJ
Total Energy supply,TJ
Total Energy Use,TJ
Domestic Extraction,kt
Unused Domestic Extraction,kt
Water Consumption Green - Agriculture,Mm3
Water Consumption Blue - Agriculture,Mm3
Water Consumption Blue - Livestock,Mm3
Water Consumption Blue - Manufacturing,Mm3
Water Consumption Blue - Electricity,Mm3
Water Consumption Blue - Domestic,Mm3
Water Consumption Blue - Total,Mm3
Water Withdrawal Blue - Manufacturing,Mm3
Water Withdrawal Blue - Electricity,Mm3
Water Withdrawal Blue - Domestic,Mm3
Water Withdrawal Blue - Total,Mm3
