code,name,synonym,unit
124-38-9c,CO2 - combustion,E_CO2_c,kg
74-82-8c,CH4 - combustion,E_CH4_c,kg
10102-44-0c,N2O - combustion,E_N2O_c,kg
7446-09-5c,SOx - combustion,E_SOx_c,kg
11104-93-1c,NOx - combustion,E_NOx_c,kg
7664-41-7c,NH3 - combustion,E_NH3_c,kg
630-08-0c,CO - combustion,E_CO_c,kg
50-32-8c,Benzo(a)pyrene - combustion,E_benzo_a_pyrene_c,kg
205-99-2c,Benzo(b)fluoranthene - combustion,E_benzo_b_fluoranthene_c,kg
207-08-9c,Benzo(k)fluoranthene - combustion,E_benzo_k_fluoranthene_c,kg
193-39-5c,"Indeno(1,2,3-cd)pyrene - combustion",E_indeno_pyrene_c,kg
PCBsc,PCBs - combustion,E_PCBs_c,kg
PCDD_Fc,PCDD_F - combustion,E_PCDD_F_c,kg
118-74-1c,HCB - combustion,E_HCB_c,kg
NMVOCc,NMVOC - combustion,E_NMVOC_c,kg
PM10c,PM10 - combustion,E_PM10_c,kg
PM2.5c,PM2.5 - combustion,E_PM25_c,kg
TSPc,TSP - combustion,E_TSP_c,kg
17428-41-0c,As - combustion,E_As_c,kg
22537-48-0c,Cd - combustion,E_Cd_c,kg
Cr_compdsc,Cr - combustion,E_Cr_c,kg
15158-11-9c,Cu - combustion,E_Cu_c,kg
14302-87-5c,Hg - combustion,E_Hg_c,kg
14701-22-5c,Ni - combustion,E_Ni_c,kg
14280-50-3c,Pb - combustion,E_Pb_c,kg
7782-49-2c,Se - combustion,E_Se_c,kg
23713-49-7c,Zn - combustion,E_Zn_c,kg
124-38-9wb,CO2 - Waste - biogenic,E_CO2_wb,kg
124-38-9wf,CO2 - Waste - fossil,E_CO2_wf,kg
74-82-8w,CH4 - Waste,E_CH4_w,kg
7664-41-7w,NH3 - Waste,E_NH3_w,kg
630-08-0w,CO - Waste,E_CO_w,kg
11104-93-1w,NOx - Waste,E_NOx_w,kg
7446-09-5w,SOx - Waste,E_SOx_w,kg
PM2.5w,PM2.5 - Waste,E_PM25_w,kg
As_nc_1.1,As - non combustion - Agglomeration plant - pellets,E_As_nc_1.1,kg
As_nc_1.2,As - non combustion - Agglomeration plant - sinter,E_As_nc_1.2,kg
As_nc_26.0,As - non combustion - Glass production,E_As_nc_26.0,kg
As_nc_58.0,As - non combustion - Production of coke oven coke,E_As_nc_58.0,kg
As_nc_59.0,As - non combustion - Production of gascoke,E_As_nc_59.0,kg
As_nc_69.1,As - non combustion - Steel production: basic oxygen furnace,E_As_nc_69.1,kg
As_nc_69.2,As - non combustion - Steel production: electric arc furnace,E_As_nc_69.2,kg
As_nc_69.3,As - non combustion - Steel production: open hearth furnace,E_As_nc_69.3,kg
B(a)P_nc_56.0,B(a)P - non combustion - Primary aluminium production,E_B(a)P_nc_56.0,kg
B(a)P_nc_58.0,B(a)P - non combustion - Production of coke oven coke,E_B(a)P_nc_58.0,kg
B(a)P_nc_59.0,B(a)P - non combustion - Production of gascoke,E_B(a)P_nc_59.0,kg
B(b)F_nc_56.0,B(b)F - non combustion - Primary aluminium production,E_B(b)F_nc_56.0,kg
B(b)F_nc_58.0,B(b)F - non combustion - Production of coke oven coke,E_B(b)F_nc_58.0,kg
B(b)F_nc_59.0,B(b)F - non combustion - Production of gascoke,E_B(b)F_nc_59.0,kg
B(k)F_nc_56.0,B(k)F - non combustion - Primary aluminium production,E_B(k)F_nc_56.0,kg
B(k)F_nc_58.0,B(k)F - non combustion - Production of coke oven coke,E_B(k)F_nc_58.0,kg
B(k)F_nc_59.0,B(k)F - non combustion - Production of gascoke,E_B(k)F_nc_59.0,kg
CH4_nc_19.0,CH4 - non combustion - Extraction/production of (natural) gas,E_CH4_nc_19.0,kg
CH4_nc_20.0,CH4 - non combustion - Extraction/production of crude oil,E_CH4_nc_20.0,kg
CH4_nc_36.0,CH4 - non combustion - Mining of antracite,E_CH4_nc_36.0,kg
CH4_nc_37.0,CH4 - non combustion - Mining of bituminous coal,E_CH4_nc_37.0,kg
CH4_nc_38.0,CH4 - non combustion - Mining of coking coal,E_CH4_nc_38.0,kg
CH4_nc_39.0,CH4 - non combustion - Mining of lignite (brown coal),E_CH4_nc_39.0,kg
CH4_nc_40.0,CH4 - non combustion - Mining of sub-bituminous coal,E_CH4_nc_40.0,kg
CH4_nc_46.0,CH4 - non combustion - Oil refinery,E_CH4_nc_46.0,kg
CO_nc_1.2,CO - non combustion - Agglomeration plant - sinter,E_CO_nc_1.2,kg
CO_nc_4.0,CO - non combustion - Bricks production,E_CO_nc_4.0,kg
CO_nc_6.0,CO - non combustion - Carbon black production,E_CO_nc_6.0,kg
