name,synonym,unit
Domestic Extraction Used - Primary Crops - Rice,DEU_1.01.001,kt
Domestic Extraction Used - Primary Crops - Wheat,DEU_1.02.001,kt
Domestic Extraction Used - Primary Crops - Barley,DEU_1.03.001,kt
Domestic Extraction Used - Primary Crops - Buckwheat,DEU_1.03.002,kt
Domestic Extraction Used - Primary Crops - Canary Seed,DEU_1.03.003,kt
Domestic Extraction Used - Primary Crops - Maize,DEU_1.03.004,kt
Domestic Extraction Used - Primary Crops - Millet,DEU_1.03.005,kt
Domestic Extraction Used - Primary Crops - Mixed Grain,DEU_1.03.006,kt
Domestic Extraction Used - Primary Crops - Oats,DEU_1.03.007,kt
Domestic Extraction Used - Primary Crops - Rye,DEU_1.03.008,kt
Domestic Extraction Used - Primary Crops - Sorghum,DEU_1.03.009,kt
Domestic Extraction Used - Primary Crops - Triticale,DEU_1.03.010,kt
Domestic Extraction Used - Primary Crops - Cereals nec,DEU_1.03.011,kt
Domestic Extraction Used - Primary Crops - Fonio,DEU_1.03.012,kt
Domestic Extraction Used - Primary Crops - Quinoa,DEU_1.03.013,kt
Domestic Extraction Used - Primary Crops - Potatoes,DEU_1.04.001,kt
Domestic Extraction Used - Primary Crops - Sweet Potatoes,DEU_1.04.002,kt
Domestic Extraction Used - Primary Crops - Yams,DEU_1.04.003,kt
Domestic Extraction Used - Primary Crops - Lentils,DEU_1.04.004,kt
Domestic Extraction Used - Primary Crops - Lupins,DEU_1.04.005,kt
Domestic Extraction Used - Primary Crops - Vetches,DEU_1.04.006,kt
Domestic Extraction Used - Primary Crops - Pulses nec,DEU_1.04.007,kt
Domestic Extraction Used - Primary Crops - Olives,DEU_1.04.008,kt
Domestic Extraction Used - Primary Crops - Artichokes,DEU_1.04.009,kt
Domestic Extraction Used - Primary Crops - Asparagus,DEU_1.04.010,kt
Domestic Extraction Used - Primary Crops - Cabbages,DEU_1.04.011,kt
Domestic Extraction Used - Primary Crops - Carrots,DEU_1.04.012,kt
Domestic Extraction Used - Primary Crops - Cauliflower,DEU_1.04.013,kt
"Domestic Extraction Used - Primary Crops - Chillies and peppers, green",DEU_1.04.014,kt
Domestic Extraction Used - Primary Crops - Cucumbers and Gherkins,DEU_1.04.015,kt
Domestic Extraction Used - Primary Crops - Eggplants,DEU_1.04.016,kt
Domestic Extraction Used - Primary Crops - Garlic,DEU_1.04.017,kt
Domestic Extraction Used - Primary Crops - Leeks and other Alliac. Veg.,DEU_1.04.018,kt
Domestic Extraction Used - Primary Crops - Lettuce,DEU_1.04.019,kt
