region,code,name,synonym,unit
EU,p01.a,Paddy rice,C_PARI,M.EUR
EU,p01.b,Wheat,C_WHEA,M.EUR
EU,p01.c,Cereal grains nec,C_OCER,M.EUR
EU,p01.d,"Vegetables, fruit, nuts",C_FVEG,M.EUR
EU,p01.e,Oil seeds,C_OILS,M.EUR
EU,p01.f,"Sugar cane, sugar beet",C_SUGB,M.EUR
EU,p01.g,Plant-based fibers,C_FIBR,M.EUR
EU,p01.h,Crops nec,C_OTCR,M.EUR
EU,p01.i,Cattle,C_CATL,M.EUR
EU,p01.j,Pigs,C_PIGS,M.EUR
EU,p01.k,Poultry,C_PLTR,M.EUR
EU,p01.l,Meat animals nec,C_OMEA,M.EUR
EU,p01.m,Animal products nec,C_OANP,M.EUR
EU,p01.n,Raw milk,C_MILK,M.EUR
EU,p01.o,"Wool, silk-worm cocoons",C_WOOL,M.EUR
EU,p01.w.1,Manure (conventional treatment),C_MANC,M.EUR
EU,p01.w.2,Manure (biogas treatment),C_MANB,M.EUR
EU,p02,"Products of forestry, logging and related services",C_FORE,M.EUR
EU,p05,Fish and other fishing products; services incidental of fishing,C_FISH,M.EUR
EU,p10.a,Anthracite,C_ANTH,M.EUR
EU,p10.b,Coking Coal,C_COKC,M.EUR
EU,p10.c,Other Bituminous Coal,C_OTBC,M.EUR
EU,p10.d,Sub-Bituminous Coal,C_SUBC,M.EUR
EU,p10.e,Patent Fuel,C_PATF,M.EUR
EU,p10.f,Lignite/Brown Coal,C_LIBC,M.EUR
EU,p10.g,BKB/Peat Briquettes,C_BKBP,M.EUR
EU,p10.h,Peat,C_PEAT,M.EUR
EU,p11.a,"Crude petroleum and services related to crude oil extraction, excluding surveying",C_COIL,M.EUR
EU,p11.b,"Natural gas and services related to natural gas extraction, excluding surveying",C_GASE,M.EUR
EU,p11.b.1,Natural Gas Liquids,C_GASL,M.EUR
EU,p11.c,Other Hydrocarbons,C_OGPL,M.EUR
EU,p12,Uranium and thorium ores,C_ORAN,M.EUR
EU,p13.1,Iron ores,C_IRON,M.EUR
EU,p13.20.11,Copper ores and concentrates,C_COPO,M.EUR
EU,p13.20.12,Nickel ores and concentrates,C_NIKO,M.EUR
EU,p13.20.13,Aluminium ores and concentrates,C_ALUO,M.EUR
EU,p13.20.14,Precious metal ores and concentrates,C_PREO,M.EUR
EU,p13.20.15,"Lead, zinc and tin ores and concentrates",C_LZTO,M.EUR
EU,p13.20.16,Other non-ferrous metal ores and concentrates,C_ONFO,M.EUR
EU,p14.1,Stone,C_STON,M.EUR
EU,p14.2,Sand and clay,C_SDCL,M.EUR
EU,p14.3,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",C_CHMF,M.EUR
EU,p15.a,Products of meat cattle,C_PCAT,M.EUR
EU,p15.b,Products of meat pigs,C_PPIG,M.EUR
EU,p15.c,Products of meat poultry,C_PPLT,M.EUR
EU,p15.d,Meat products nec,C_POME,M.EUR
EU,p15.e,products of Vegetable oils and fats,C_VOIL,M.EUR
EU,p15.f,Dairy products,C_DAIR,M.EUR
EU,p15.g,Processed rice,C_RICE,M.EUR
EU,p15.h,Sugar,C_SUGR,M.EUR
EU,p15.i,Food products nec,C_OFOD,M.EUR
EU,p15.j,Beverages,C_BEVR,M.EUR
EU,p15.k,Fish products,C_FSHP,M.EUR
EU,p16,Tobacco products,C_TOBC,M.EUR
EU,p17,Textiles,C_TEXT,M.EUR
EU,p18,Wearing apparel; furs,C_GARM,M.EUR
EU,p19,Leather and leather products,C_LETH,M.EUR
EU,p20,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,C_WOOD,M.EUR
EU,p20.w,"Wood material for treatment, Re-processing of secondary wood material into new wood material",C_WOOW,M.EUR
EU,p21.1,Pulp,C_PULP,M.EUR
EU,p21.w.1,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",C_PAPR,M.EUR
EU,p21.2,Paper and paper products,C_PAPE,M.EUR
EU,p22,Printed matter and recorded media,C_MDIA,M.EUR
EU,p23.1.a,Coke Oven Coke,C_COKE,M.EUR
EU,p23.1.b,Gas Coke,C_GCOK,M.EUR
EU,p23.1.c,Coal Tar,C_COTA,M.EUR
EU,p23.20.a,Motor Gasoline,C_MGSL,M.EUR
EU,p23.20.b,Aviation Gasoline,C_AGSL,M.EUR
EU,p23.20.c,Gasoline Type Jet Fuel,C_GJET,M.EUR
EU,p23.20.d,Kerosene Type Jet Fuel,C_KJET,M.EUR
EU,p23.20.e,Kerosene,C_KERO,M.EUR
EU,p23.20.f,Gas/Diesel Oil,C_DOIL,M.EUR
EU,p23.20.g,Heavy Fuel Oil,C_FOIL,M.EUR
EU,p23.20.h,Refinery Gas,C_RGAS,M.EUR
EU,p23.20.i,Liquefied Petroleum Gases (LPG),C_LPGA,M.EUR
EU,p23.20.j,Refinery Feedstocks,C_REFF,M.EUR
EU,p23.20.k,Ethane,C_ETHA,M.EUR
